,delta_t,Length(m),mu,angle(rad),gravity,total_time,period_time,experiment_period_time,Difference
0,0.001,0.21,0.6,0.3490658503988659,9.80665,10.0,0.94540000000002,0.9042,-0.04120000000002
0,0.0001,0.21,0.6,0.3490658503988659,9.80665,10.0,0.9402099999991427,0.9042,-0.03600999999914267
0,0.1,0.21,0.7,0.3490658503988659,9.80665,10.0,1.4000000000000001,0.9042,-0.49580000000000013
0,0.01,0.21,0.7,0.3490658503988659,9.80665,10.0,1.0274999999999892,0.9042,-0.1232999999999892
0,0.001,0.21,0.7,0.3490658503988659,9.80665,10.0,0.9531000000000157,0.9042,-0.04890000000001571
0,0.0001,0.21,0.7,0.3490658503988659,9.80665,10.0,0.9461299999991288,0.9042,-0.04192999999912883
0,0.1,0.21,0.8,0.3490658503988659,9.80665,10.0,,0.9042,
0,0.01,0.21,0.8,0.3490658503988659,9.80665,10.0,1.0099999999999931,0.9042,-0.10579999999999312
0,0.001,0.21,0.8,0.3490658503988659,9.80665,10.0,0.9635000000000099,0.9042,-0.0593000000000099
0,0.0001,0.21,0.8,0.3490658503988659,9.80665,10.0,0.9540199999991105,0.9042,-0.049819999999110465
0,0.1,0.21,0.9,0.3490658503988659,9.80665,10.0,,0.9042,
0,0.01,0.21,0.9,0.3490658503988659,9.80665,10.0,1.0699999999999918,0.9042,-0.16579999999999184
0,0.001,0.21,0.9,0.3490658503988659,9.80665,10.0,0.9780000000000019,0.9042,-0.07380000000000186
0,0.0001,0.21,0.9,0.3490658503988659,9.80665,10.0,0.9646799999990856,0.9042,-0.0604799999990856
0,0.1,0.13,0.0,0.3490658503988659,9.80665,10.0,,0.7704,
0,0.01,0.13,0.0,0.3490658503988659,9.80665,10.0,0.8042857142857035,0.7704,-0.03388571428570353
0,0.001,0.13,0.0,0.3490658503988659,9.80665,10.0,0.7316153846153975,0.7704,0.03878461538460243
0,0.0001,0.13,0.0,0.3490658503988659,9.80665,10.0,0.7291769230762497,0.7704,0.04122307692375027
0,0.1,0.13,0.1,0.3490658503988659,9.80665,10.0,,0.7704,
0,0.01,0.13,0.1,0.3490658503988659,9.80665,10.0,0.8514285714285597,0.7704,-0.08102857142855968
0,0.001,0.13,0.1,0.3490658503988659,9.80665,10.0,0.7322307692307818,0.7704,0.03816923076921819
